id,name
Job_1,مشرف مقيم
Job_2,معلم
Job_3,اداري
Job_4,سكرتير
Job_5,مراسل
Job_6,سائق
Job_7,حارس
Job_8,مدربة- مدرب
Job_9,رئيسة قسم الإشراف النسائي
Job_10,مرشدة طلابية
Job_11,مشرفه تعليمية ( تربوية )  بالمركز
Job_12,محاسبة
Job_13,حاضنه
Job_14,معلمه
Job_15,اخرى
Job_16,عاملة نظافه
Job_17,عاملة مقصف
Job_18,مربية
Job_19,مسؤل حاسب
Job_20,مشرفة نشاط
Job_21,نائب المدير
Job_22,نائبة المديرة
Job_23,عامله
Job_24,مشرفة تربوية مسائية
Job_25,مشرفة البرامج التعليمية والاختبارات
Job_26,مشرفة شؤون الطالبات
Job_27,مشرفة شؤون المعلمات بالمدرسة
Job_28,مشرفة إدارية بالمركز
Job_29,مشرفة شؤون المشرفات
Job_30,مديرة معهد
Job_31,أمينة - مصادر التعلم
Job_32,وكيلة الشؤون المالية والإدارية
Job_33,مشرفة تقنية المعلومات
Job_34,مشرفة العلاقات العامة والإعلام
Job_35,مشرفة القبول والتسجيل
Job_36,مشرفة النشاط والبرامج
Job_37,مشرفة شؤون المعاهد
Job_38,مشرفة دبلوم
Job_39,محاضرة
Job_40,سكرتيرة
Job_41,طالبة
Job_42,مشرف تربوي
Job_43,مرشدة طلابية بالمدرسة النسائية
Job_44,مشرفة تعليمية بالمدرسة
Job_45,مديرة مركز التدريب
Job_46,رئيسة قسم الشؤون التدريبية
Job_47,رئيسة قسم الشؤون المالية والإدارية
Job_48,منسقة شؤون المتدربات
Job_49,مدير مركز الإشراف
Job_50,مشرفة الصيانة
Job_51,موظفة استقبال
Job_52,موظفة استعلامات
Job_53,مشرفة إدارية بالمدرسة النسائية
Job_54,مسؤولة حاسب
Job_55,منفذة برامج تعليمية بالمدرسة النسائية
Job_56,مساعدة مديرة مدرسة نسائية
Job_57,مديرة مدرسة نسائية
Job_58,مساعد مدير مركز الإشراف
Job_59,منسقة اختبارات
Job_60,مشرفة مالية بالمركز
