id,surah_id/id,part_id/id,verse,original_surah_order,reverse_surah_order,reverse_accumalative_order,original_accumalative_order,line_no
__export__.mk_surah_verses_1,__export__.mk_surah_1,__export__.mk_parts_1,بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ,1,114,6236,1,0
__export__.mk_surah_verses_2,__export__.mk_surah_1,__export__.mk_parts_1,الْحَمْدُ لِلَّهِ رَبِّ الْعَالَمِينَ,2,114,6235,2,0
__export__.mk_surah_verses_3,__export__.mk_surah_1,__export__.mk_parts_1,الرَّحْمَٰنِ الرَّحِيمِ,3,114,6234,3,0
__export__.mk_surah_verses_4,__export__.mk_surah_1,__export__.mk_parts_1,مَالِكِ يَوْمِ الدِّينِ,4,114,6233,4,0
__export__.mk_surah_verses_5,__export__.mk_surah_1,__export__.mk_parts_1,إِيَّاكَ نَعْبُدُ وَإِيَّاكَ نَسْتَعِينُ,5,114,6232,5,0
__export__.mk_surah_verses_6,__export__.mk_surah_1,__export__.mk_parts_1,اهْدِنَا الصِّرَاطَ الْمُسْتَقِيمَ,6,114,6231,6,0
__export__.mk_surah_verses_7,__export__.mk_surah_1,__export__.mk_parts_1,صِرَاطَ الَّذِينَ أَنْعَمْتَ عَلَيْهِمْ غَيْرِ الْمَغْضُوبِ عَلَيْهِمْ وَلَا الضَّالِّينَ,7,114,6230,7,0
__export__.mk_surah_verses_8,__export__.mk_surah_2,__export__.mk_parts_1,بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ الم,1,113,6229,8,0
__export__.mk_surah_verses_9,__export__.mk_surah_2,__export__.mk_parts_1,ذَٰلِكَ الْكِتَابُ لَا رَيْبَ ۛ فِيهِ ۛ هُدًى لِلْمُتَّقِينَ,2,113,6228,9,0
__export__.mk_surah_verses_10,__export__.mk_surah_2,__export__.mk_parts_1,الَّذِينَ يُؤْمِنُونَ بِالْغَيْبِ وَيُقِيمُونَ الصَّلَاةَ وَمِمَّا رَزَقْنَاهُمْ يُنْفِقُونَ,3,113,6227,10,0
__export__.mk_surah_verses_11,__export__.mk_surah_2,__export__.mk_parts_1,وَالَّذِينَ يُؤْمِنُونَ بِمَا أُنْزِلَ إِلَيْكَ وَمَا أُنْزِلَ مِنْ قَبْلِكَ وَبِالْآخِرَةِ هُمْ يُوقِنُونَ,4,113,6226,11,0
__export__.mk_surah_verses_12,__export__.mk_surah_2,__export__.mk_parts_1,أُولَٰئِكَ عَلَىٰ هُدًى مِنْ رَبِّهِمْ ۖ وَأُولَٰئِكَ هُمُ الْمُفْلِحُونَ,5,113,6225,12,0
__export__.mk_surah_verses_13,__export__.mk_surah_2,__export__.mk_parts_1,إِنَّ الَّذِينَ كَفَرُوا سَوَاءٌ عَلَيْهِمْ أَأَنْذَرْتَهُمْ أَمْ لَمْ تُنْذِرْهُمْ لَا يُؤْمِنُونَ,6,113,6224,13,0
__export__.mk_surah_verses_14,__export__.mk_surah_2,__export__.mk_parts_1,خَتَمَ اللَّهُ عَلَىٰ قُلُوبِهِمْ وَعَلَىٰ سَمْعِهِمْ ۖ وَعَلَىٰ أَبْصَارِهِمْ غِشَاوَةٌ ۖ وَلَهُمْ عَذَابٌ عَظِيمٌ,7,113,6223,14,0
__export__.mk_surah_verses_15,__export__.mk_surah_2,__export__.mk_parts_1,وَمِنَ النَّاسِ مَنْ يَقُولُ آمَنَّا بِاللَّهِ وَبِالْيَوْمِ الْآخِرِ وَمَا هُمْ بِمُؤْمِنِينَ,8,113,6222,15,0
__export__.mk_surah_verses_16,__export__.mk_surah_2,__export__.mk_parts_1,يُخَادِعُونَ اللَّهَ وَالَّذِينَ آمَنُوا وَمَا يَخْدَعُونَ إِلَّا أَنْفُسَهُمْ وَمَا يَشْعُرُونَ,9,113,6221,16,0
__export__.mk_surah_verses_17,__export__.mk_surah_2,__export__.mk_parts_1,فِي قُلُوبِهِمْ مَرَضٌ فَزَادَهُمُ اللَّهُ مَرَضًا ۖ وَلَهُمْ عَذَابٌ أَلِيمٌ بِمَا كَانُوا يَكْذِبُونَ,10,113,6220,17,0
__export__.mk_surah_verses_18,__export__.mk_surah_2,__export__.mk_parts_1,وَإِذَا قِيلَ لَهُمْ لَا تُفْسِدُوا فِي الْأَرْضِ قَالُوا إِنَّمَا نَحْنُ مُصْلِحُونَ,11,113,6219,18,0
__export__.mk_surah_verses_19,__export__.mk_surah_2,__export__.mk_parts_1,أَلَا إِنَّهُمْ هُمُ الْمُفْسِدُونَ وَلَٰكِنْ لَا يَشْعُرُونَ,12,113,6218,19,0
__export__.mk_surah_verses_20,__export__.mk_surah_2,__export__.mk_parts_1,وَإِذَا قِيلَ لَهُمْ آمِنُوا كَمَا آمَنَ النَّاسُ قَالُوا أَنُؤْمِنُ كَمَا آمَنَ السُّفَهَاءُ ۗ أَلَا إِنَّهُمْ هُمُ السُّفَهَاءُ وَلَٰكِنْ لَا يَعْلَمُونَ,13,113,6217,20,0
__export__.mk_surah_verses_21,__export__.mk_surah_2,__export__.mk_parts_1,وَإِذَا لَقُوا الَّذِينَ آمَنُوا قَالُوا آمَنَّا وَإِذَا خَلَوْا إِلَىٰ شَيَاطِينِهِمْ قَالُوا إِنَّا مَعَكُمْ إِنَّمَا نَحْنُ مُسْتَهْزِئُونَ,14,113,6216,21,0
__export__.mk_surah_verses_22,__export__.mk_surah_2,__export__.mk_parts_1,اللَّهُ يَسْتَهْزِئُ بِهِمْ وَيَمُدُّهُمْ فِي طُغْيَانِهِمْ يَعْمَهُونَ,15,113,6215,22,0
__export__.mk_surah_verses_23,__export__.mk_surah_2,__export__.mk_parts_1,أُولَٰئِكَ الَّذِينَ اشْتَرَوُا الضَّلَالَةَ بِالْهُدَىٰ فَمَا رَبِحَتْ تِجَارَتُهُمْ وَمَا كَانُوا مُهْتَدِينَ,16,113,6214,23,0
__export__.mk_surah_verses_24,__export__.mk_surah_2,__export__.mk_parts_1,مَثَلُهُمْ كَمَثَلِ الَّذِي اسْتَوْقَدَ نَارًا فَلَمَّا أَضَاءَتْ مَا حَوْلَهُ ذَهَبَ اللَّهُ بِنُورِهِمْ وَتَرَكَهُمْ فِي ظُلُمَاتٍ لَا يُبْصِرُونَ,17,113,6213,24,0
__export__.mk_surah_verses_25,__export__.mk_surah_2,__export__.mk_parts_1,صُمٌّ بُكْمٌ عُمْيٌ فَهُمْ لَا يَرْجِعُونَ,18,113,6212,25,0
__export__.mk_surah_verses_26,__export__.mk_surah_2,__export__.mk_parts_1,أَوْ كَصَيِّبٍ مِنَ السَّمَاءِ فِيهِ ظُلُمَاتٌ وَرَعْدٌ وَبَرْقٌ يَجْعَلُونَ أَصَابِعَهُمْ فِي آذَانِهِمْ مِنَ الصَّوَاعِقِ حَذَرَ الْمَوْتِ ۚ وَاللَّهُ مُحِيطٌ بِالْكَافِرِينَ,19,113,6211,26,0
__export__.mk_surah_verses_27,__export__.mk_surah_2,__export__.mk_parts_1,يَكَادُ الْبَرْقُ يَخْطَفُ أَبْصَارَهُمْ ۖ كُلَّمَا أَضَاءَ لَهُمْ مَشَوْا فِيهِ وَإِذَا أَظْلَمَ عَلَيْهِمْ قَامُوا ۚ وَلَوْ شَاءَ اللَّهُ لَذَهَبَ بِسَمْعِهِمْ وَأَبْصَارِهِمْ ۚ إِنَّ اللَّهَ عَلَىٰ كُلِّ شَيْءٍ قَدِيرٌ,20,113,6210,27,0
__export__.mk_surah_verses_28,__export__.mk_surah_2,__export__.mk_parts_1,يَا أَيُّهَا النَّاسُ اعْبُدُوا رَبَّكُمُ الَّذِي خَلَقَكُمْ وَالَّذِينَ مِنْ قَبْلِكُمْ لَعَلَّكُمْ تَتَّقُونَ,21,113,6209,28,0
__export__.mk_surah_verses_29,__export__.mk_surah_2,__export__.mk_parts_1,الَّذِي جَعَلَ لَكُمُ الْأَرْضَ فِرَاشًا وَالسَّمَاءَ بِنَاءً وَأَنْزَلَ مِنَ السَّمَاءِ مَاءً فَأَخْرَجَ بِهِ مِنَ الثَّمَرَاتِ رِزْقًا لَكُمْ ۖ فَلَا تَجْعَلُوا لِلَّهِ أَنْدَادًا وَأَنْتُمْ تَعْلَمُونَ,22,113,6208,29,0
