surah ID;part;Verse;رقم المقرر;الحالة;اختبار
1;1;1;1;1;
1;1;2;1;;
1;1;3;1;;
1;1;4;1;;
1;1;5;1;;
1;1;6;1;;
1;1;7;1;;
2;1;1;1;;
2;1;2;1;;
2;1;3;1;;
2;1;4;1;;
2;1;5;1;2;
2;1;6;2;1;
2;1;7;2;;
2;1;8;2;;
2;1;9;2;;
2;1;10;2;2;
2;1;11;3;1;
2;1;12;3;;
2;1;13;3;;
2;1;14;3;;
2;1;15;3;;
2;1;16;3;2;
2;1;17;4;1;
2;1;18;4;;
2;1;19;4;;
2;1;20;4;2;
2;1;21;5;1;
2;1;22;5;;
2;1;23;5;;
2;1;24;5;2;
2;1;25;6;1;
2;1;26;6;2;
2;1;27;7;1;
2;1;28;7;;
2;1;29;7;2;
2;1;30;8;1;
2;1;31;8;;
2;1;32;8;2;
2;1;33;9;1;
2;1;34;9;;
2;1;35;9;;
2;1;36;9;;
2;1;37;9;2;
2;1;38;10;1;
2;1;39;10;;
2;1;40;10;;
2;1;41;10;;
2;1;42;10;2;
2;1;43;11;1;
2;1;44;11;;
2;1;45;11;;
2;1;46;11;;
2;1;47;11;;
2;1;48;11;2;
2;1;49;12;1;
2;1;50;12;;
2;1;51;12;;
2;1;52;12;;
2;1;53;12;2;
2;1;54;13;1;
2;1;55;13;;
2;1;56;13;;
2;1;57;13;2;
2;1;58;14;1;
2;1;59;14;;
2;1;60;14;2;
2;1;61;15;1;
2;1;61;15;2;
2;1;62;16;1;
2;1;63;16;;
2;1;64;16;;
2;1;65;16;2;
2;1;66;17;1;
2;1;67;17;;
2;1;68;17;;
2;1;69;17;2;
2;1;70;18;1;
2;1;71;18;;
2;1;72;18;;
2;1;73;18;2;
2;1;74;19;1;
2;1;75;19;;
2;1;76;19;2;
2;1;77;20;1;
2;1;78;20;;
2;1;79;20;;
2;1;80;20;2;
2;1;81;21;1;
2;1;82;21;;
2;1;83;21;2;
2;1;84;22;1;
2;1;85;22;2;
2;1;86;23;1;
2;1;87;23;;
2;1;88;23;2;
2;1;89;24;1;
2;1;90;24;2;
