سلمان بن دخيل ( عرين سابقاً ),dep_10001
غاتر تحسين,dep_10002
البر,dep_10004
حصة العمار,dep_10007
صلاح الدين الأيوبي,dep_10008
الثليماء,dep_10014
البياشة,dep_10015
ابن سيار,dep_10017
الحربي,dep_10021
الملك خالد,dep_10022
المرشد,dep_10023
الإيمان,dep_10027
الأمير محمد بن عبد العزيز,dep_10029
بدر,dep_10030
العز بن عبد السلام,dep_10034
الجويعد,dep_10036
مريم الحسن,dep_10037
علي بن حسن بن قعود,dep_10038
آل عبد القادر,dep_10039
عبد الله بن عايض,dep_10042
محمد بن صالح بن عثيمين,dep_10043
مسجد التقوى,dep_10045
التنزيل,dep_10048
غزوى المطيري/ مجمع القراء التعليمي,dep_10051
الخيري,dep_10053
حمزة بن عبدالمطلب (2) ,dep_10054
عبدالعزيز الجريان,dep_10055
الأمير سلطان بن عبد العزيز,dep_10056
والدة اللواء الفرائضي,dep_10060
عبدالله بن حذافه السهمي,dep_10062
جامع ابن عدوان - مجمع الاتقان التعليمي,dep_10063
الأميرة العنود بنت عبدالعزيز آل جلوي,dep_10065
الراجحي (4) ,dep_10069
شعبة أم سليم - مجمع الفاروق التعليمي,dep_10070
جامع الفاروق - النسيم الشرقي,dep_10088
الفاروق,dep_10092
الحسن البصري,dep_10097
عبد العزيز آل الشيخ,dep_10100
عبد الرحمن الجريوي,dep_10101
الأميرة سارة,dep_10102
ابي بن كعب بمسجد سليمان آل الشيخ,dep_10104
الملك عبدالعزيز بالعليا الغربية,dep_10105
الأميرة نورة,dep_10106
عثمان بن عفان ,dep_10109
مجمع حلقات جامع الفاروق ,dep_10111
الراجحي بحى الصفا,dep_10112
الفلاح ,dep_10115
جامع علي الهزاع,dep_10116
هارون الرشيد - مجمع بينات التعليمي النموذجي,dep_10119
العز بن عبدالسلام,dep_10120
وليد بن محمد الدغيثر/ خديجة بنت خويلد-مجمع ابن عثيمين النموذجي,dep_10121
الغضية,dep_10122
الشيخ عبدالعزيز آل الشيخ,dep_10123
أبي هريرة,dep_10124
ناصر العبيد,dep_10125
الحوامي - مجمع خيركم,dep_10126
ابن منيع,dep_10127
خالد بن الوليد ,dep_10128
مسجد الفالح,dep_10129
الأمير عبدالله بن عبدالرحمن (منفوحة),dep_10130
 الخضرمة ( حلقات ابي بن كعب),dep_10131
عبدالله الزكري,dep_10132
جامع  الإيمان _ مجمع الرائدة التعليمي,dep_10133
التقوى -مجمع جيل القرآن النموذجي-,dep_10134
أبي أيوب الانصاري,dep_10137
الملك عبد العزيز بأم الحمام,dep_10138
العجلان,dep_10141
ابي بكر الصديق (اسكان الخرج),dep_10143
السديري -مجمع جيل القرآن النموذجي-,dep_10146
جامع بن سعيد  ,dep_10147
الأمير سلطان بن عبدالعزيز - مجمع قرآني,dep_10148
 سعد المقرن - مجمع الصفوة التعليمي,dep_10149
التضامن ,dep_10151
التركي,dep_10152
الشيخ عبدالله الخريف - مجمع قرآني,dep_10153
عبدالله بن سعود _ مجمع الرائدة التعليمي,dep_10155
المشيقيق - مجمع الفاروق التعليمي,dep_10158
جامع خبيب بن عدي - مجمع قرآني,dep_10159
الشيخ سعود الدغيثر,dep_10162
 جامع المدينة - مجمع المدينة التعليمي,dep_10163
الحمدان,dep_10165
خالد بن الوليد ,dep_10166
جامع بن تيمية / مجمع أحمد بن حنبل التعليمي النموذجي,dep_10168
مسجد أحمد بن حنبل,dep_10169
حلقات جامع عمر بن الخطاب لتحفيظ القرآن الكريم ,dep_10170
ذات النطاقين,dep_10171
الحمراء الشرقية,dep_10173
جامع الدخيل,dep_10177
حسان بن ثابت (1),dep_10178
حسان بن ثابت  (2),dep_10179
ابن عقيل,dep_10180
النمر,dep_10182
الهويش- مجمع المثاني,dep_10183
عبد الله بن مرزوق,dep_10184
مدرسة القادسية الخيرية,dep_10185
إسكان وزارة الداخلية,dep_10187
جامع الفاروق,dep_10188
سعيد بن زيد ,dep_10189
مصعب بن عمير,dep_10191
علي بن أبي طالب ,dep_10193
العباس,dep_10195
العساف,dep_10199
حي الفواز,dep_10200
الملز الجنوبي,dep_10201
الكعكي,dep_10202
حلقات الإمام السعدي بجامع الأميرة دليل بنت عبد الرحمن,dep_10203
مجمع حلقات البواردي,dep_10205
جامع التعاون,dep_10206
الأميرة شاهيناز بنت فيصل آل سعود,dep_10207
عبد الله المطلق,dep_10211
عبد الله بن مسعود,dep_10214
حلقات جامع القاضي - المجمع النموذجي,dep_10215
الأميرة مضاوي بنت عبدالعزيز,dep_10217
التيسير,dep_10219
عبد الله بن مسعود مسجد الإيمان,dep_10220
الحسن بن علي,dep_10221
حمد السليم,dep_10222
النملة,dep_10223
الفاروق - مجمع نموذجي,dep_10224
مصعب بن عمير-النسيم الغربي,dep_10226
الجويعد,dep_10228
عبدالله بن ناصر,dep_10231
الراجحي بالملك فهد,dep_10236
طلال الرشيد,dep_10237
والدة الملك سعود (2)- مجمع  الشيخ عبدالعزيز العزمان التعليمي,dep_10238
مسجد الخراشي _ مجمع الفرقان التعليمي,dep_10239
المنصور ,dep_10240
 بجاد,dep_10241
عثمان الصالح - مجمع الشيخ عبدالعزيزالعزمان التعليمي,dep_10242
 الفوارة الجنوبي - مجمع قرآني,dep_10244
احمد بن حنبل,dep_10248
جامع العساف,dep_10250
 الامير خالد بن سعود (2)- الزامل,dep_10253
حلقات الذكر مسجد سعد بن معاذ ,dep_10254
صالح العقيلي,dep_10255
ابراهيم السبعان,dep_10256
الفيحاء,dep_10257
سعد بن معاذ (غبيراء),dep_10260
الفرقان ,dep_10261
مسجد المعزي - حلقات الجليس الصالح,dep_10263
السلوم,dep_10265
عثمان بن عفان  (إسكان البحرية),dep_10267
المجمع القرآني بمسجد أبي بن كعب بإسكان القوات البحرية ,dep_10269
علي بن ابي طالب (اسكان البحريه),dep_10270
الشيخ محمد ابن عثيمين,dep_10271
أم سليم,dep_10272
الشعيبي,dep_10277
سليمان الراجحي,dep_10280
عبدالله الحجي,dep_10283
الخرجي,dep_10284
الشهداء,dep_10285
معاذ بن جبل,dep_10286
الشيخ صالح الغنيم,dep_10287
التقوى ,dep_10288
سعد بن معاذ (المنصورة),dep_10289
سليمان الحبيب,dep_10290
سعد بن معاذ ,dep_10294
حمود إبراهيم الذياب -عبدالله بن مسعود,dep_10295
مجمع الأبرار بمسجد العرف,dep_10296
الإمام الشاطبي - مجمع الصفوة التعليمي,dep_10299
مركز إشراف الروضة,dep_102
علي بن ابي طالب(منفوحة),dep_10300
الفالح,dep_10302
عمرو بن العاص,dep_10304
إسكان المعذر,dep_10305
جامع الملك خالد ,dep_10306
مدرسة التقوى لتحفيظ القران الكريم بمسجد عمر بن الخطاب(منفوحة),dep_10309
علي بن ابي طالب ,dep_10313
صلاح الدين,dep_10316
البر والاحسان,dep_10317
عائشه بنت ابي بكر,dep_10318
عبد الرحمن بن عوف,dep_10319
علي بن ابي طالب ,dep_10321
السلولي,dep_10322
الصديق,dep_10323
الزهراء,dep_10324
الاحسان ,dep_10325
زيد بن حارثه ,dep_10332
الفوزان (الرويل سابقًا),dep_10333
سليمان آل الشيخ,dep_10335
 الرائد,dep_10338
ابو بكر الصديق ,dep_10339
الراجحي بالسليمانية,dep_10340
الضويان,dep_10343
والدة الملك سعود,dep_10345
ثنيان بن فهد الثنيان,dep_10346
المنتزه الجنوبي,dep_10350
حمد البادي,dep_10353
الملك عبدالله - مجمع ابي موسى الاشعري النموذجي,dep_10354
الربع -مجمع جيل القرآن النموذجي-,dep_10356
علي بن أبي طالب (خنشليلة),dep_10358
البابطين,dep_10361
المنتزه الجديد,dep_10362
المنتزه الشمالي,dep_10363
غرب وزارة الداخلية,dep_10364
الأمير سلطان بن عبد العزيز,dep_10365
الوسيطي,dep_10366
مجمع الشيخ إبراهيم العريفي لتعليم القران,dep_10367
الشيخ سعد الحبابي,dep_10368
النفيسة,dep_10370
الإمام مسلم,dep_10372
جامع مها الجميح,dep_10374
الرشيد,dep_10375
عبد العزيز بن باز,dep_10378
مصعب بن عمير ,dep_10379
حنين ,dep_10380
عبد الرحمن الداخل,dep_10381
أبو بكر الصديق ,dep_10384
اللحيدان,dep_10386
جامع عمار بن ياسر ,dep_10396
عبد الله بن الزبير,dep_10397
أبي عبيدة بن الجراح,dep_10399
مركز إشراف الجنوب,dep_103
منيرة المفيريج,dep_10403
ابن القيم الجوزية  lمدارس مغلقة,dep_10411
البراء بن مالك,dep_10412
عثمان محمد العثمان,dep_10414
أنس بن مالك ,dep_10416
عبد اللطيف العبد اللطيف,dep_10419
الأميرة نورة بنت عبدالله,dep_10420
الفدا,dep_10421
الفرقان ,dep_10422
الحبيشي,dep_10424
الهداية,dep_10426
الرحمة ,dep_10429
محمد بن عثيمين,dep_10430
بلال بن رباح ,dep_10431
رياض الصالحين ,dep_10434
النور ,dep_10437
أم إبراهيم الذياب,dep_10440
ذي النورين عثمان بن عفان _ مجمع تعليمي نموذجي,dep_10441
الأميرة الجوهرة آل إبراهيم,dep_10442
البصير,dep_10443
حلقات واحة القرآن ,dep_10445
إمام الدعوة ,dep_10446
الأمير فيصل بن فهد,dep_10449
الصحابة(غبيراء),dep_10451
عمر بن الخطاب ,dep_10452
الطاسان,dep_10453
الأميرسلطان بن عبد العزيز,dep_10456
عماربن ياسر,dep_10458
مجمع آل مقرن القرآني,dep_10459
عائشة بنت أبي بكر,dep_10461
فيحان بن هذال بن فهيد- مجمع ابن فهيد النموذجي,dep_10463
الأمير خالد بن سعود / مجمع القراء التعليمي,dep_10464
الجار الله,dep_10465
عبداللطيف جميل (2),dep_10466
عبدالعزيز بن باز (1),dep_10468
جامع آل عشيوان,dep_10469
الحزم,dep_10471
الفصام,dep_10472
عبدالرحمن آل فريان,dep_10475
عبدالعزيز الحلوان,dep_10485
محمد بن عبدالوهاب ( 4 ),dep_10489
الملك خالد,dep_10490
الأميرة موضي السديري,dep_10493
أبو هريرة (1),dep_10496
مركز إشراف الغرب,dep_104
عمر بن الخطاب ,dep_10500
التركي ,dep_10501
الاميره حصه السديري,dep_10502
الأمير تركي بن عبد الرحمن,dep_10503
الامير بندر بن محمد,dep_10504
الاميره الجوهره بنت الصالح,dep_10505
الأحمري,dep_10506
مجمع حلقات الرحمانية ( مسجد عثمان بأم الحمام ),dep_10507
الحسن البصري ,dep_10510
السالم,dep_10512
الهادي,dep_10513
علم دار,dep_10519
الأمير عبد الرحمن,dep_10521
بن دايل,dep_10524
الثنيان (1),dep_10525
جامع محمد بن ماجد مجمع الفرقان التعليمي,dep_10526
 ابن جلعود,dep_10532
أم عبد الرحمن,dep_10536
عروة بن الزبير,dep_10539
عبدالله البراهيم ,dep_10541
الأميرة الجوهرة ,dep_10543
ابن سعيد (2) حلقات الإبن البار,dep_10545
الحزم,dep_10548
التوحيد (1),dep_10552
 ابن نوح,dep_10553
ابن جابر,dep_10555
عبد الله الشدي,dep_10556
المقيرن (المنصوريات سابقًاً) ,dep_10559
العنوز,dep_10560
الملك عبد العزيز (1) مجمع المدينة التعليمي,dep_10561
صالح بن عبدالحميد آل الشيخ - مجمع المدينة التعليمي,dep_10568
شيخ الإسلام ابن تيمية - مجمع قرآني,dep_10569
العجلان,dep_10570
صالح العبدالقادر 1 بسلطانة - مجمع قرآني,dep_10571
الملك سلمان (1) - مجمع قرآني,dep_10572
 وزير العدل - مجمع قرآني,dep_10573
ابن خضير(2),dep_10575
الأميرة قماشه بنت سعود,dep_10577
الحصيني(1),dep_10578
جامع الراجحي بشبرا - مجمع قرآني ,dep_10579
حلقات جامع أسامة بن زيد  رضي الله عنه ,dep_10582
الصانع (1) حلقات الفاروق - مجمع قرآني,dep_10584
الملك عبدالعزيز (2) - مجمع قرآني,dep_10588
 محمد بن سعود العلي,dep_10590
جامع الحميدي _ مجمع الرائدة التعليمي,dep_10592
 آل شرمان,dep_10593
