id,name,city_id/id,area_id/id,district_id/id,manager_id/id
dep_601530,مسجد سعيد القحطاني,,,,
dep_601529,عبدالله السديس ,,,,
dep_601528,النخبة,,,,
dep_601527,حلقة مغلقة,,,,
dep_601526,جامع نوره,,,,
dep_601525,دار الأبرار المسائية,,,,
dep_601524,إصلاحية الرياض,,,,
dep_601523,مدرسة ابراهيم محمد السباح الصباحية,,,,
dep_601522,مدرسة ابراهيم محمد السباح المسائية,,,,
dep_601521,جامع ابراهيم السباح,,,,
dep_601520,روضة الجزيرة الصباحية,,,,
dep_601519,عبقرية الشروق الصباحية,,,,
dep_601518,الدورات الرمضانية,,,,
dep_601517,محمد الراجحي,,,,
dep_601516,صالح العبدالقادر 2 بصياح,,,,
dep_601515,غزوى المطيري - مسائية,,,,
dep_601514,أم هانئ صباحي,,,,
dep_601513,الإمام الشاطبي ,,,,
dep_601511,محمد بن راشد الثوري,,,,
dep_601509,مسجد عبدالعزيز العثمان,,,,
dep_601508,حمد الزير,,,,
dep_601506,عبقرية الشروق المسائية,,,,
dep_601505,روضة الجزيرة المسائية,,,,
dep_601504,التعاون,,,,
dep_601503,جامع العريني,,,,
dep_601502,الوالدين (2),,,,
dep_601501,الشهداء,,,,
dep_601499,منيرة بنت عبداللطيف ال الشيخ,,,,
dep_601498,هيا القضيع,,,,
dep_601497,عائشة بنت أبي بكر الصديق,,,,
dep_601496,البركات,,,,
dep_601495,رحاب القرآن,,,,
dep_601493,جامع الصفوة,,,,
dep_601492,الخراشي,,,,
dep_601489,السلامة صباحي ,,,,
dep_601488,حلقات جامع التقوى ,,,,
dep_601487,السلامة مسائي ,,,,
dep_601486,دار لطيفه بنت عبدالله الخلف,,,,
dep_601485,النور (2),,,,
dep_601483,عبد الله الجريان,,,,
dep_601480,جنى الجنتين المسائية,,,,
dep_601479,جامع والدة الأمير منصور,,,,
dep_601478,الرميصاء صباحي,,,,
dep_601477,اشبيليا,,,,
dep_601476,الجميح ( الوزارات),,,,
dep_601475,مدرسة روضة الصالحات ,,,,
dep_601474,الأمير مشعل ,,,,
dep_601473,مقرأة مركز الغرب الأولى بمسجد الخضيري,,,,
dep_601472,فاطمة بنت محمد,,,,
dep_601470,حصة القبيسي ,,,,
dep_601469,فاطمة باحويرث,,,,
dep_601468,عمر بن الخطاب (5),,,,
dep_601467,جامع بن باز,,,,
dep_601466,سليمان الدخيل,,,,
dep_601464,السنابل صباحي,,,,
dep_601463,ذو النورين,,,,
dep_601461,جامع التيسير,,,,
dep_601460,نادي إنسان الاجتماعي ,,,,
dep_601459,مسجد ابراهيم القريشي,,,,
dep_601458,الإمام مالك بن أنس,,,,
dep_601457,جامع عبدالعزيز الغليقه,,,,
dep_601456,هيا الخضير,,,,
dep_601454,الشيخ عبد الله إبراهيم القباع وحرمه,,,,
dep_601452,منابر النور المسائية,,,,
dep_601451,منابر النور الصباحية,,,,
dep_601450,مجمع حلقات المعيلي,,,,
dep_601449,مسجد فهد المطيري,,,,
dep_601448,جامع الأمير تركي بن عبدالله,,,,
dep_601447,الوالدين (1),,,,
dep_601446,أبو بكر الصديق (3),,,,
dep_601445,عبدالعزيز بن باز (3),,,,
dep_601444,جامع ضاحية بلنسية,,,,
dep_601443,مسجد موسى بن نصير,,,,
dep_601442,جامع حمد المورقي,,,,
dep_601441,حلقه الشيخ / محمد بن ابراهيم,,,,
dep_601440,جامع حمود اللحيدان,,,,
dep_601439,والدة أحمد البلوي,,,,
dep_601438,جامع ابن عثيمين,,,,
dep_601437,ركيب علي الرمال,,,,
dep_601436,أروى بنت كريز صباحي,,,,
dep_601435,مدرسة دار القدس لتحفيظ القرآن الكريم,,,,
dep_601433,مسجد الطويلعة,,,,
dep_601432,مسجد عمار بن ياسر حلقات أبي هريره,,,,
dep_601430,الضياء صباحي,,,,
dep_601429,اليرموك صباحي,,,,
dep_601428,رياض النرجس صباحي,,,,
dep_601427,اقرأ - صباحية,,,,
dep_601426,الهدى,,,,
dep_601425,زاد المعاد,,,,
dep_601424,أبي بن كعب,,,,
dep_601423,القيم -  صباحي,,,,
dep_601422,جامع أحمد بن عبدالرحمن العبيلان,,,,
dep_601421,إقرأ ( صباحية),,,,
dep_601420,نورة الصبيح وحفيداتها صباحي,,,,
dep_601419,القدس صباحي,,,,
dep_601418,الاترجة صباحي,,,,
dep_601417,ابن باز - اسكان الأفراد ( جامع الفاروق),,,,
dep_601415,عبدالعزيز بن باز (2),,,,
dep_601413,رياض الجنان مسائي,,,,
dep_601412,جامع الأميره العنود بنت عبدالعزيز,,,,
dep_601410,عاتكة بنت زيد صباحي روضة صناع المجد,,,,
dep_601409,علياء مسائي,,,,
dep_601408,جامع زيد المليحي,,,,
dep_601406,خديجة بنت خويلد مسائي,,,,
dep_601405,أم عبد الله الدغيشم,,,,
dep_601404,الايمان,,,,
dep_601403,جامع النمر - مجمع الفرقان التعليمي,,,,
dep_601399,سعد الخثلان,,,,
dep_601396,التقوى - الصبيحي,,,,
dep_601395,ناصر بن مهنا السبيعي,,,,
dep_601394,درة بنت أبي سلمة صباحي,,,,
dep_601393,مسجد عبدالكريم الخليفي,,,,
dep_601392,حفصة بنت سيرين مسائي,,,,
dep_601391,جامع العمران,,,,
dep_601389,أزهار البيان صباحي,,,,
dep_601388,مسجد النور ,,,,
dep_601387,إقرأ المسائية ,,,,
dep_601386,إقرأ الصباحية ,,,,
dep_601384,صهيب الرومي,,,,
dep_601383,سليمان العباد,,,,
dep_601382,مناهل الفرقان صباحي,,,,
dep_601379,الرضوان,,,,
dep_601378,مدرسة السعيدان بالعليا,,,,
dep_601377,الشيخ عبدالعزيز الحكير,,,,
dep_601376,حاملات المسك - صباحي,,,,
dep_601375,الأميرتركي بن عبدالله,,,,
dep_601373, جامعة الملك سعود,,,,
dep_601372,المركز النسائي لتحفيظ القرآن والسنة في إسكان جامعة الامام ,,,,
dep_601371,الامير محمد بن عبدالرحمن الفيصل ,,,,
dep_601370,اقرأ - مسائية ,,,,
dep_601369,مسجد عبدالرحمن بن عوف ,,,,
dep_601368,أحمد الحصين ,,,,
dep_601367,قحصان اليامي ,,,,
