"id","name","order"
"__export__.mk_parts_1","الجزء الأول","1"
"__export__.mk_parts_2","الجزء الثاني","2"
"__export__.mk_parts_3","الجزء الثالث","3"
"__export__.mk_parts_4","الجزء الرابع","4"
"__export__.mk_parts_5","الجزء الخامس","5"
"__export__.mk_parts_6","الجزء السادس","6"
"__export__.mk_parts_7","الجزء السابع","7"
"__export__.mk_parts_8","الجزء الثامن","8"
"__export__.mk_parts_9","الجزء التاسع","9"
"__export__.mk_parts_10","الجزء العاشر","10"
"__export__.mk_parts_11","الجزء الحادي عشر","11"
"__export__.mk_parts_12","الجزء الثاني عشر","12"
"__export__.mk_parts_13","الجزء الثالث عشر","13"
"__export__.mk_parts_14","الجزء الرابع عشر","14"
"__export__.mk_parts_15","الجزء الخامس عشر","15"
"__export__.mk_parts_16","الجزء السادس عشر","16"
"__export__.mk_parts_17","الجزء السابع عشر","17"
"__export__.mk_parts_18","الجزء الثامن عشر","18"
"__export__.mk_parts_19","الجزء التاسع عشر","19"
"__export__.mk_parts_20","الجزء العشرون","20"
"__export__.mk_parts_21","الجزء الحادي والعشرون","21"
"__export__.mk_parts_22","الجزء الثاني والعشرون","22"
"__export__.mk_parts_23","الجزء الثالث والعشرون","23"
"__export__.mk_parts_24","الجزء الرابع والعشرون","24"
"__export__.mk_parts_25","الجزء الخامس والعشرون","25"
"__export__.mk_parts_26","الجزء السادس والعشرون","26"
"__export__.mk_parts_27","الجزء السابع والعشرون","27"
"__export__.mk_parts_28","الجزء الثامن والعشرون","28"
"__export__.mk_parts_29","الجزء التاسع والعشرون","29"
"__export__.mk_parts_30","الجزء الثلاثون","30"
